TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Cluster,FraudLabel
TX000001,AC00128,4410.2974912253,2023-04-11 16:29:14,Debit,San Diego,D000380,162.198.218.92,M015,ATM,1289.8799133265388,Doctor,5785.579512246016,1.7271441635919087,19943581.72511176,2024-11-04 08:08:08,1,0
TX000003,AC00019,37160.14537191277,2023-07-10 18:16:08,Debit,Mesa,D000235,215.97.143.157,M009,Online,382.658436665429,Student,4036.8337714607983,1.7271441635919087,4382465.568122234,2024-11-04 08:07:04,0,1
TX000004,AC00070,54150.95326081488,2023-05-05 16:32:11,Debit,Raleigh,D000187,200.13.225.150,M002,Online,507.1790315012676,Student,1868.3890528871284,1.7271441635919087,33425870.423785206,2024-11-04 08:09:06,1,0
TX000005,AC00411,4223.489089766834,2023-10-16 17:51:24,Credit,Atlanta,D000308,65.164.3.100,M091,Online,507.1790315012676,Student,13969.709579120834,1.7271441635919087,28981007.285861902,2024-11-04 08:06:39,1,0
TX000006,AC00393,27195.084706612677,2023-04-03 17:15:01,Debit,Oklahoma City,D000579,117.67.192.211,M054,ATM,364.86978026030926,Student,12151.014008704207,1.7271441635919087,3053796.0305440687,2024-11-04 08:06:36,0,1
TX000009,AC00135,31304.86953869895,2023-03-21 16:59:46,Credit,Detroit,D000690,24.148.92.177,M035,Branch,951.8954416292626,Engineer,6135.328660403059,1.7271441635919087,35477669.731998794,2024-11-04 08:11:14,1,0
TX000010,AC00385,238466.63011232033,2023-03-31 16:06:57,Debit,Nashville,D000199,32.169.88.41,M007,ATM,1023.0500672497418,Doctor,8513.622867870956,1.7271441635919087,3990615.8941254686,2024-11-04 08:06:32,0,1
TX000011,AC00150,5487.364680884274,2023-03-14 16:46:10,Credit,Albuquerque,D000205,213.15.9.253,M073,Online,969.6840980343824,Engineer,4246.683260355025,1.7271441635919087,29644503.518969595,2024-11-04 08:06:45,1,0
TX000012,AC00459,55762.17572339416,2023-02-06 17:30:00,Debit,Memphis,D000589,116.175.11.222,M030,Online,418.2357494756686,Student,12220.963838335616,1.7271441635919087,5967727.024205897,2024-11-04 08:07:12,0,1
TX000013,AC00392,144642.11047980533,2023-06-07 17:21:28,Credit,Mesa,D000032,210.98.198.143,M057,Branch,471.60171869102805,Student,7884.074401188277,1.7271441635919087,6323461.161413472,2024-11-04 08:08:38,0,1
TX000014,AC00264,228484.05615938347,2023-11-20 16:39:15,Debit,Memphis,D000054,193.83.0.183,M025,ATM,507.1790315012676,Student,8723.472356765182,1.7271441635919087,744936.7839097932,2024-11-04 08:07:06,0,1
TX000015,AC00085,49039.99215216214,2023-02-13 16:53:57,Debit,Louisville,D000309,188.124.181.12,M017,Online,364.86978026030926,Student,9492.920482710677,1.7271441635919087,1174891.0793353284,2024-11-04 08:10:09,0,1
TX000016,AC00270,136156.92261980905,2023-12-12 16:23:31,Debit,Denver,D000466,221.169.49.152,M025,ATM,685.0655955524657,Engineer,9143.171334553634,1.7271441635919087,13521295.44383123,2024-11-04 08:12:19,0,1
TX000017,AC00317,162529.01491945353,2023-10-30 16:52:49,Credit,Austin,D000671,53.218.177.171,M048,Branch,382.658436665429,Student,11171.716393864486,1.7271441635919087,4417216.0468254415,2024-11-04 08:07:35,0,1
TX000018,AC00359,144178.00835743197,2023-12-14 18:32:14,Debit,Columbus,D000432,114.223.129.47,M059,Online,738.431564767825,Engineer,16487.903445851545,1.7271441635919087,19934845.35336146,2024-11-04 08:11:51,1,0
TX000019,AC00242,5750.063995435243,2023-02-21 16:56:50,Credit,Albuquerque,D000530,93.218.115.132,M054,Branch,1094.204692870221,Retired,7534.325253031234,1.7271441635919087,31005076.4141002,2024-11-04 08:12:01,1,0
TX000020,AC00285,21161.757115758755,2023-06-08 18:18:50,Credit,Columbus,D000039,120.170.93.69,M039,Online,364.86978026030926,Student,11941.164519809981,1.7271441635919087,25623705.425872292,2024-11-04 08:09:20,1,0
TX000021,AC00002,17612.397488047885,2023-02-28 16:36:58,Debit,Los Angeles,D000152,116.44.12.250,M040,Branch,1307.6685697316586,Retired,2777.7368380954417,1.7271441635919087,22434539.72041638,2024-11-04 08:09:24,1,0
TX000022,AC00014,25332.838454573583,2023-08-11 18:31:31,Debit,Las Vegas,D000268,59.132.247.252,M065,Branch,720.6429083627052,Doctor,6624.9774678229205,1.7271441635919087,35676773.204254545,2024-11-04 08:08:13,1,0
TX000023,AC00095,15534.154021822445,2023-06-06 18:54:15,Debit,Atlanta,D000142,133.63.96.21,M022,Online,738.431564767825,Engineer,8513.622867870956,1.7271441635919087,35008830.7819525,2024-11-04 08:07:01,1,0
TX000024,AC00453,101244.18371598526,2023-05-02 18:25:46,Debit,Fort Worth,D000162,191.82.103.198,M083,Online,436.02440588078844,Student,10052.519119761946,2.9322286691196755,5475097.061803872,2024-11-04 08:07:04,0,1
